
Running 45 tests using 8 workers

  ok  5 [e2e-chromium] › tests\e2e\auth.spec.ts:48:7 › Login & Authentication › TC-AUTH-005 | redirects unauthenticated visitors from protected pages to login (988ms)
  ok 23 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:85:7 › Subscription & Payments › TC-PAY-007 | grants access to premium content once the subscription is active (1.2s)
  ok 22 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:75:7 › Subscription & Payments › TC-PAY-006 | rejects malformed card details before charging (1.8s)
  ok 24 [api] › tests\api\auth-api.spec.ts:36:7 › API: Authentication › TC-API-AUTH-003 | login rejects an unknown account with the same 401 (no enumeration) (47ms)
  ok 26 [api] › tests\api\subscription-api.spec.ts:60:7 › API: Subscriptions & Payments › TC-API-SUB-004 | returns 504 on a gateway timeout without changing the status (31ms)
  ok 25 [api] › tests\api\auth-api.spec.ts:24:7 › API: Authentication › TC-API-AUTH-002 | login rejects a wrong password (401) (71ms)
  ok 28 [api] › tests\api\subscription-api.spec.ts:75:7 › API: Subscriptions & Payments › TC-API-SUB-005 | rejects malformed card data (400) (35ms)
  ok 31 [api] › tests\api\subscription-api.spec.ts:87:7 › API: Subscriptions & Payments › TC-API-SUB-006 | requires authentication for checkout (401) (22ms)
  ok 30 [api] › tests\api\auth-api.spec.ts:47:7 › API: Authentication › TC-API-AUTH-004 | logout invalidates the token (204, then 401) (59ms)
  ok 33 [api] › tests\api\tenant-api.spec.ts:11:7 › API: Multi-Tenant Access Control › TC-API-TEN-001 | lists only users belonging to the caller tenant (200) (58ms)
  ok 27 [api] › tests\api\auth-api.spec.ts:58:7 › API: Authentication › TC-API-AUTH-005 | protected endpoints reject missing and invalid tokens (401) (64ms)
  ok 34 [api] › tests\api\tenant-api.spec.ts:27:7 › API: Multi-Tenant Access Control › TC-API-TEN-002 | blocks cross-tenant reads (403) (33ms)
  ok 35 [api] › tests\api\tenant-api.spec.ts:50:7 › API: Multi-Tenant Access Control › TC-API-TEN-004 | blocks members from managing users (403, role-based) (16ms)
  ok 36 [api] › tests\api\tenant-api.spec.ts:38:7 › API: Multi-Tenant Access Control › TC-API-TEN-003 | blocks an admin from managing users in another tenant (403) (16ms)
  ok 29 [api] › tests\api\auth-api.spec.ts:11:7 › API: Authentication › TC-API-AUTH-001 | login returns a token and the user contract (200) (108ms)
  ok 38 [api] › tests\api\tenant-api.spec.ts:77:7 › API: Multi-Tenant Access Control › TC-API-TEN-006 | rejects missing and invalid tokens on tenant endpoints (401) (35ms)
  ok 41 [api] › tests\api\users-api.spec.ts:36:7 › API: User Creation › TC-API-USR-003 | rejects an invalid email format (400) (12ms)
  ok 37 [api] › tests\api\tenant-api.spec.ts:62:7 › API: Multi-Tenant Access Control › TC-API-TEN-005 | lets an admin invite a user into their own tenant (201) (47ms)
  ok 39 [api] › tests\api\users-api.spec.ts:10:7 › API: User Creation › TC-API-USR-001 | creates a user and returns the public user contract (201) (28ms)
  ok 40 [api] › tests\api\users-api.spec.ts:23:7 › API: User Creation › TC-API-USR-002 | rejects missing required fields (400) (33ms)
  ok 32 [api] › tests\api\subscription-api.spec.ts:13:7 › API: Subscriptions & Payments › TC-API-SUB-001 | reports the trial status for a new tenant (200) (118ms)
  ok 42 [api] › tests\api\users-api.spec.ts:47:7 › API: User Creation › TC-API-USR-004 | rejects a weak password (400) (10ms)
  ok 43 [api] › tests\api\users-api.spec.ts:58:7 › API: User Creation › TC-API-USR-005 | rejects a duplicate email (409) (21ms)
  ok 44 [api] › tests\api\subscription-api.spec.ts:24:7 › API: Subscriptions & Payments › TC-API-SUB-002 | activates the subscription on a successful charge (201) (59ms)
  ok 45 [api] › tests\api\subscription-api.spec.ts:43:7 › API: Subscriptions & Payments › TC-API-SUB-003 | returns 402 and past_due when the card is declined (59ms)

  45 passed (8.3s)
